PENTAD,INDEX_4,INDEX_8,INDEX_9
19831030,-0.96,0.85,0.95
19831104,-0.5,0.46,0.48
19831109,0.43,-0.29,-0.45
19831114,-0.06,0.38,-0.4
19831119,-1.58,1.55,1.18
19831124,-0.95,0.71,0.93
19831129,0.15,-0.38,0.04
19831204,0.58,-0.99,-0.1
19831209,0.78,-0.86,-0.6
19831214,0.22,0.04,-0.47
19831219,0.67,-0.32,-0.78
19831224,0.43,0.25,-0.87
19831229,-0.91,0.97,0.84
19840103,0.38,-0.49,-0.2
19840108,0.43,0.06,-0.79
19840113,-0.57,0.88,0.21
19840118,-0.46,0.69,0.31
19840123,-0.46,0.88,0.09
19840128,-0.04,0.61,-0.46
19840202,-0.48,1.13,-0.18
19840207,0,0.5,-0.41
19840212,0.09,0.25,-0.42
19840217,-0.48,0.58,0.29
19840222,-0.05,0.13,-0.08
19840227,0.53,-0.26,-0.62
19840304,0.5,-0.23,-0.7
19840309,0.44,-0.26,-0.61
19840314,-0.19,0.2,0.09
19840319,0.44,-0.7,-0.29
19840324,1.27,-1.11,-1.3
19840329,1.28,-1.15,-1.23
19840403,1.31,-0.78,-1.63
19840408,0.67,-0.03,-1.21
19840413,-0.24,0.88,-0.49
19840418,-0.71,0.83,0.45
19840423,0.52,-0.41,-0.54
19840428,0.8,-0.5,-0.98
19840503,0.28,-0.02,-0.58
19840508,0.57,-0.38,-0.7
19840513,0.32,-0.05,-0.6
19840518,-0.09,0.37,-0.32
19840523,-0.45,0.75,0.08
19840528,-0.6,0.93,0.11
19840602,-0.47,0.62,0.25
19840607,0.62,-0.34,-0.76
19840612,0.34,-0.11,-0.55
19840617,-0.73,0.72,0.61
19840622,-1.04,1.07,0.8
19840627,-0.19,0.19,0.11
19840702,0.45,-0.39,-0.34
19840707,1.16,-1,-1.11
19840712,1.2,-0.69,-1.6
19840717,-0.07,0.59,-0.46
19840722,-1.32,1.36,1.06
19840727,-0.08,0.09,0.09
19840801,0.05,0.15,-0.24
19840806,-1.52,1.38,1.36
19840811,-0.73,0.51,0.86
19840816,-0.2,0.04,0.33
19840821,-0.87,0.8,0.85
19840826,-0.53,0.22,0.73
19840831,0.47,-0.35,-0.53
19840905,-0.12,0.15,0.13
19840910,0.79,-1.01,-0.35
19840915,0.37,-0.77,0.09
19840920,0.75,-0.87,-0.49
19840925,0.08,0.21,-0.43
19840930,-1.06,1.11,0.8
19841005,-0.82,0.85,0.62
19841010,-1.71,1.6,1.52
19841015,-1.5,0.96,1.77
19841020,-0.85,0.47,1.01
19841025,-0.19,-0.43,0.8
19841030,1.22,-1.64,-0.58
19841104,1.26,-1.39,-0.89
19841109,2.01,-1.75,-1.95
19841114,1.01,-0.45,-1.52
19841119,-0.26,0.67,-0.18
19841124,0.13,0.05,-0.23
19841129,0.55,-0.07,-0.96
19841204,-0.54,0.99,-0.04
19841209,-0.7,0.94,0.29
19841214,-0.74,0.81,0.45
19841219,-0.52,0.51,0.39
